Lbrary_ID,Name,Street,Num,City,PS,Telephone
L-001,Architettura,Via Ghiara,36,Ferrara,44121,0532-293628
L-002,Chimico-Biologica,Via Fossato di Mortara,15,Ferrara,44122,0532-455301
L-003,Economia,Via Voltapaletto,11,Ferrara,11223,0532-455104
L-004,Lettere e Filosofia,Via Savonarola,27,Ferrara,13313,0532-293417
L-005,Matematica,Via Machiavelli,30,Ferrara,31331,0532-974047
L-006,Giurisprudenza,Corso Ercole I d’Este ,38,Ferrara,53132,0532-455621
L-007,Scientifico-tecnologica,Via Giuseppe Saragat,1,Ferrara,42322,0532-974800
